-0.509,0.444
0.596,0.331
0.505,-0.309
-0.745,-0.571
0.356,-0.662
-0.713,0.164
0.564,0.684
-0.353,-0.207
0.735,-0.596
-0.827,0.765
-0.871,0.275
-1.173,-0.213
-0.835,0.82
-0.995,0.984
-0.013,0.976
-0.551,0.445
-0.387,-0.325
0.565,-0.613
0.831,0.565
0.435,0.598
-0.336,0.304
-0.762,0.715
0.616,0.736
0.809,0.289
0.733,-0.431
-0.449,-0.562
0.405,-0.769
0.482,0.929
0.435,0.278
-0.46,0.365
0.5,0.445
0.882,0.776
-0.009,0.995
-0.995,0.998
0.638,-0.653
-0.533,-0.645
-0.345,0.415
-0.229,-0.316
0.225,-0.495
0.582,0.305
-0.444,-0.236
-0.593,0.127
-0.28,0.007
0.011,-0.102
0.149,-0.24
-0.233,-0.476
0.16,-0.887
0.48,-0.876
0.662,-0.807
0.684,-0.604
0.669,-0.425
0.618,-0.367
0.487,-0.182
0.415,-0.047
0.407,0.055
0.429,0.153
0.513,0.222
0.669,0.284
0.753,0.48
0.687,0.549
0.469,0.589
0.258,0.593
0.069,0.611
-0.244,0.622
-0.484,0.622
-0.647,0.542
-0.713,0.447
-0.738,0.371
-0.731,0.233
-0.687,0.015
-0.596,-0.4
-0.662,-0.473
-0.691,-0.593
-0.476,-0.749
-0.189,-0.764
-0.713,0.429
-0.611,-0.182
-0.422,-0.364
0.113,-0.458
0.327,-0.418
0.487,-0.124
0.44,0.113
0.418,0.222
0.702,0.567
0.411,0.385
-0.291,0.48
-0.865,-0.618
0.069,-0.535
-0.505,-0.207
-0.796,0.364
-0.12,0.233
0.393,0.28
0.52,-0.109
0.622,-0.585
-0.255,-0.622
-0.338,-0.611
-0.618,-0.258
-0.698,-0.127
-0.724,0.018
-0.553,0.24
-0.549,0.371
-0.6,0.575
-0.495,0.684
-0.185,0.705
0.109,0.709
0.313,0.698
0.473,0.644
0.684,0.52
0.764,0.36
0.815,0.12
0.782,-0.095
0.793,-0.229
0.669,-0.302
0.371,-0.313
0.196,-0.309
0.098,-0.269
-0.076,-0.258
-0.185,-0.313
-0.636,0.64
-0.553,0.665
-0.287,0.698
-0.098,0.724
0.084,0.727
0.207,0.709
0.302,0.622
0.396,0.524
0.469,0.389
0.516,0.16
0.542,-0.047
0.567,-0.24
0.531,-0.404
0.404,-0.491
0.313,-0.524
0.265,-0.589
0.138,-0.756
0.065,-0.825
-0.073,-0.844
-0.182,-0.847
-0.284,-0.829
-0.342,-0.793
-0.385,-0.724
-0.4,-0.618
-0.44,-0.429
-0.502,-0.32
-0.571,-0.178
-0.636,-0.091
-0.655,-0.022
-0.684,0.149
-0.691,0.24
-0.673,0.451
-0.665,0.465
-0.655,0.64
-0.327,0.338
-0.335,0.324
-0.335,0.302
-0.302,0.28
-0.269,0.291
-0.258,0.309
-0.313,0.345
0.171,0.345
0.16,0.331
0.185,0.284
0.251,0.276
0.251,0.305
0.167,0.345
0.156,0.353
-0.218,-0.313
-0.222,-0.324
-0.204,-0.353
-0.12,-0.382
-0.062,-0.396
0.022,-0.375
0.113,-0.327
0.167,-0.28
0.171,-0.258
