-0.264,-0.508
0.34,0.08
0.088,-0.392
0.34,-0.576
0.744,-0.26
0.316,-0.492
0.056,-0.392
0.18,-0.22
0.452,-0.592
0.54,-0.608
-0.416,0.472
0.22,-0.424
0.716,0.196
0.592,-0.472
0.532,-0.396
0.66,-0.424
0.144,-0.336
0.2,-0.18
0.524,-0.632
0.16,-0.608
0.456,-0.652
0.66,-0.196
0.396,-0.784
-0.36,0.336
0.556,-0.556
0.308,-0.584
0.196,-0.892
0.52,-0.788
0.456,-0.724
0.4,-0.268
-0.328,-0.828
0.652,-0.464
0.32,-0.928
0.008,-0.8
0.828,-0.404
0.484,-0.54
0.44,-0.48
0.4,-0.732
0.296,-0.348
0.656,-0.488
0.36,-0.492
0.7,-0.732
0.38,-0.388
-0.628,0.368
0.204,-0.692
0.36,-0.16
0.568,0.016
0.54,-0.38
